,char,dec,hex,freq,rate,acc_rate
0,之,20043,0x4e4b,27103263,0.02021114497506229,0.02021114497506229
1,不,19981,0x4e0d,17024811,0.012695553420783144,0.03290669839584544
2,以,20197,0x4ee5,13270386,0.009895845209524662,0.0428025436053701
3,一,19968,0x4e00,11913477,0.008883986064853897,0.051686529670223996
4,人,20154,0x4eba,11033292,0.008227624259270738,0.059914153929494736
5,有,26377,0x6709,10409059,0.007762128143130845,0.06767628207262558
6,而,32780,0x800c,10220968,0.007621867006694821,0.07529814907932039
7,也,20063,0x4e5f,9746241,0.007267858848320075,0.08256600792764046
8,其,20854,0x5176,9496624,0.007081717224883807,0.08964772515252427
9,者,32773,0x8005,8509517,0.006345622730176701,0.09599334788270097
10,十,21313,0x5341,7358029,0.005486947857522271,0.10148029574022324
11,於,26044,0x65bc,7017934,0.005233335982439414,0.10671363172266266
12,子,23376,0x5b50,7015412,0.005231455304543653,0.1119450870272063
13,為,28858,0x70ba,6991744,0.005213805865829584,0.1171588928930359
14,二,20108,0x4e8c,6898384,0.005144186481076102,0.122303079374112
15,曰,26352,0x66f0,6607041,0.004926929407251833,0.12723000878136384
16,大,22823,0x5927,6600393,0.004921971934352935,0.13215198071571677
17,三,19977,0x4e09,6517392,0.004860077348299767,0.13701205806401653
18,無,28961,0x7121,6012441,0.004483530883532677,0.1414955889475492
19,中,20013,0x4e2d,5910966,0.0044078600708949344,0.14590344901844415
20,是,26159,0x662f,5819285,0.004339492731417814,0.15024294174986197
21,所,25152,0x6240,5571559,0.0041547612435489075,0.15439770299341088
22,上,19978,0x4e0a,5515488,0.004112948598706229,0.1585106515921171
23,年,24180,0x5e74,5489876,0.00409384950185205,0.16260450109396915
24,此,27492,0x6b64,5175808,0.003859646192825093,0.16646414728679423
25,下,19979,0x4e0b,5139389,0.003832488219674525,0.17029663550646876
26,爲,29234,0x7232,4773401,0.003559567703531022,0.17385620320999978
27,天,22825,0x5929,4589279,0.003422266285797725,0.1772784694957975
28,五,20116,0x4e94,4380614,0.0032666629340455254,0.18054513242984305
29,如,22914,0x5982,4299710,0.0032063320995971995,0.18375146452944024
30,四,22235,0x56db,4298761,0.0032056244218323,0.18695708895127255
31,道,36947,0x9053,4279119,0.003190977207229387,0.19014806615850194
32,王,29579,0x738b,4233843,0.0031572144901760597,0.193305280648678
33,日,26085,0x65e5,4228844,0.0031534866912859283,0.19645876733996392
34,在,22312,0x5728,4166611,0.0031070789880793793,0.1995658463280433
35,得,24471,0x5f97,4152190,0.003096325119746796,0.2026621714477901
36,自,33258,0x81ea,4149992,0.0030946860515410532,0.20575685749933117
37,則,21063,0x5247,4149389,0.0030942363890624075,0.20885109388839357
38,生,29983,0x751f,4144809,0.003090821042209677,0.21194191493060324
39,事,20107,0x4e8b,4132133,0.0030813684359421623,0.21502328336654541
40,書,26360,0x66f8,4107903,0.0030632999088151605,0.21808658327536057
41,可,21487,0x53ef,4030671,0.003005707317520378,0.22109229059288094
42,文,25991,0x6587,4011713,0.0029915701678186156,0.22408386076069955
43,時,26178,0x6642,3845750,0.0028678100783601523,0.2269516708390597
44,至,33267,0x81f3,3815515,0.0028452635691696903,0.2297969344082294
45,本,26412,0x672c,3704037,0.0027621334302070865,0.2325590678384365
46,與,33287,0x8207,3663031,0.0027315548902413487,0.23529062272867785
47,見,35211,0x898b,3583479,0.002672232254252606,0.23796285498293046
48,言,35328,0x8a00,3582033,0.0026711539591545604,0.24063400894208503
49,行,34892,0x884c,3569068,0.002661485843009221,0.24329549478509424
50,作,20316,0x4f5c,3465065,0.0025839298782221985,0.24587942466331644
51,知,30693,0x77e5,3463090,0.0025824571031055734,0.248461881766422
52,公,20844,0x516c,3453298,0.0025751551213627918,0.2510370368877848
53,又,21448,0x53c8,3442429,0.0025670500111133745,0.25360408689889813
54,故,25925,0x6545,3428795,0.002556883015700682,0.2561609699145988
55,後,24460,0x5f8c,3416479,0.0025476988646442995,0.2587086687792431
56,月,26376,0x6708,3412489,0.0025447234860542568,0.26125339226529737
57,來,20358,0x4f86,3272300,0.002440183298294982,0.26369357556359235
58,山,23665,0x5c71,3254766,0.002427108038095029,0.2661206836016874
59,州,24030,0x5dde,3207674,0.0023919911136433265,0.2685126747153307
60,出,20986,0x51fa,3158972,0.0023556735978307293,0.2708683483131614
61,明,26126,0x660e,2996539,0.0022345458608591957,0.2731028941740206
62,亦,20134,0x4ea6,2883809,0.0021504820943289895,0.2752533762683496
63,太,22826,0x592a,2872983,0.002142409049563124,0.27739578531791276
64,今,20170,0x4eca,2858535,0.002131635047089706,0.27952742036500244
65,六,20845,0x516d,2834418,0.002113650785070643,0.2816410711500731
66,相,30456,0x76f8,2832112,0.0021119311803015606,0.28375300233037465
67,將,23559,0x5c07,2820652,0.002103385356080536,0.28585638768645516
68,南,21335,0x5357,2799892,0.0020879044389052756,0.28794429212536043
69,名,21517,0x540d,2747218,0.002048624967263192,0.28999291709262365
70,心,24515,0x5fc3,2724755,0.0020318741077974952,0.29202479120042113
71,用,29992,0x7528,2699708,0.0020131963364830086,0.29403798753690413
72,何,20309,0x4f55,2696685,0.002010942058418422,0.29604892959532253
73,水,27700,0x6c34,2694245,0.0020091225286540853,0.2980580521239766
74,然,28982,0x7136,2681634,0.0019997183934663586,0.300057770517443
75,國,22283,0x570b,2663234,0.0019859973493418503,0.30204376786678483
76,云,20113,0x4e91,2610048,0.0019463360747328242,0.30399010394151765
77,官,23448,0x5b98,2589690,0.0019311549325433277,0.30592125887406096
78,能,33021,0x80fd,2583866,0.001926811923794353,0.3078480707978553
79,未,26410,0x672a,2565170,0.0019128701498295811,0.3097609409476849
80,方,26041,0x65b9,2551756,0.001902867210379247,0.31166380815806416
